strategy_name,params,oos_metrics,walk_forward,backtest_df,expectancy,max_dd,consistency,score
BollingerMeanReversion20,"{'window': 20, 'num_std': 2}","{'max_drawdown': np.float64(0.009763927035889235), 'expectancy_points': np.float64(0.002773720329066031), 'profit_factor': nan, 'sharpe_ratio': np.float64(2.5364954197330434), 'exposure': np.float64(0.02473792495346331), 'avg_trade_duration_sec': nan, 'win_rate': np.float64(0.011462721661604782), 'total_trades': np.float64(307.0)}","{'mean_max_drawdown': np.float64(0.012328235168189901), 'std_max_drawdown': np.float64(0.004228484735945654), 'mean_expectancy': np.float64(0.00673626592155957), 'consistency': np.float64(1.7949162551460869), 'n_folds': 5}","                  datetime  abertura   máxima   mínima  ...  regime_allowed  posicao_original       ret  ret_estrategy
81655  2026-03-04 10:43:00   5327.13  5329.15  5327.13  ...           False               0.0       NaN            NaN
81656  2026-03-04 10:44:00   5328.14  5329.66  5326.11  ...           False               0.0 -0.000381           -0.0
81657  2026-03-04 10:45:00   5326.11  5326.62  5323.07  ...           False               0.0 -0.000475           -0.0
81658  2026-03-04 10:46:00   5323.58  5324.09  5321.56  ...           False               0.0 -0.000190           -0.0
81659  2026-03-04 10:47:00   5322.57  5323.07  5319.53  ...           False               0.0 -0.000190           -0.0
...                    ...       ...      ...      ...  ...             ...               ...       ...            ...
102064 2026-04-24 18:25:00   5025.42  5029.96  5022.91  ...            True              -1.0  0.000802            0.0
102065 2026-04-24 18:26:00   5029.45  5030.46  5028.95  ...            True              -1.0  0.000000            0.0
102066 2026-04-24 18:27:00   5029.96  5031.47  5029.45  ...            True              -1.0  0.000099            0.0
102067 2026-04-24 18:28:00   5029.96  5031.47  5029.96  ...            True              -1.0  0.000099            0.0
102068 2026-04-24 18:29:00   5030.96  5033.99  5028.45  ...            True              -1.0  0.000402            0.0

[20414 rows x 22 columns]",0.002773720329066031,0.009763927035889235,1.7949162551460869,0.9862447255048794
BreakoutDonchian20,{'lookback': 20},"{'max_drawdown': np.float64(0.024917132849150314), 'expectancy_points': np.float64(-0.008598135914646534), 'profit_factor': nan, 'sharpe_ratio': np.float64(-7.727743563800442), 'exposure': np.float64(0.02341530322327814), 'avg_trade_duration_sec': nan, 'win_rate': np.float64(0.009650240031351034), 'total_trades': np.float64(350.0)}","{'mean_max_drawdown': np.float64(0.018595308883887385), 'std_max_drawdown': np.float64(0.014179116704781511), 'mean_expectancy': np.float64(-0.008174272103151109), 'consistency': np.float64(1.7318414979466308), 'n_folds': 5}","                  datetime  abertura   máxima   mínima  ...  regime_allowed  posicao_original       ret  ret_estrategy
81655  2026-03-04 10:43:00   5327.13  5329.15  5327.13  ...           False               0.0       NaN            NaN
81656  2026-03-04 10:44:00   5328.14  5329.66  5326.11  ...           False               0.0 -0.000381           -0.0
81657  2026-03-04 10:45:00   5326.11  5326.62  5323.07  ...           False               0.0 -0.000475           -0.0
81658  2026-03-04 10:46:00   5323.58  5324.09  5321.56  ...           False               0.0 -0.000190           -0.0
81659  2026-03-04 10:47:00   5322.57  5323.07  5319.53  ...           False               0.0 -0.000190           -0.0
...                    ...       ...      ...      ...  ...             ...               ...       ...            ...
102064 2026-04-24 18:25:00   5025.42  5029.96  5022.91  ...            True               0.0  0.000802            0.0
102065 2026-04-24 18:26:00   5029.45  5030.46  5028.95  ...            True               1.0  0.000000            0.0
102066 2026-04-24 18:27:00   5029.96  5031.47  5029.45  ...            True               0.0  0.000099            0.0
102067 2026-04-24 18:28:00   5029.96  5031.47  5029.96  ...            True               0.0  0.000099            0.0
102068 2026-04-24 18:29:00   5030.96  5033.99  5028.45  ...            True               0.0  0.000402            0.0

[20414 rows x 20 columns]",-0.008598135914646534,0.024917132849150314,1.7318414979466308,0.3339058069630444
BreakoutDonchianWithVolume,"{'lookback': 20, 'volume_lookback': 20}","{'max_drawdown': np.float64(0.02836838432368732), 'expectancy_points': np.float64(-0.010708150954133801), 'profit_factor': nan, 'sharpe_ratio': np.float64(-10.179204530819685), 'exposure': np.float64(0.019986283922798078), 'avg_trade_duration_sec': nan, 'win_rate': np.float64(0.008131674341138434), 'total_trades': np.float64(312.0)}","{'mean_max_drawdown': np.float64(0.016054889481017232), 'std_max_drawdown': np.float64(0.011287154015280434), 'mean_expectancy': np.float64(-0.004824614906702896), 'consistency': np.float64(2.6489431845041467), 'n_folds': 5}","                  datetime  abertura   máxima   mínima  ...  regime_allowed  posicao_original       ret  ret_estrategy
81655  2026-03-04 10:43:00   5327.13  5329.15  5327.13  ...           False               0.0       NaN            NaN
81656  2026-03-04 10:44:00   5328.14  5329.66  5326.11  ...           False               0.0 -0.000381           -0.0
81657  2026-03-04 10:45:00   5326.11  5326.62  5323.07  ...           False               0.0 -0.000475           -0.0
81658  2026-03-04 10:46:00   5323.58  5324.09  5321.56  ...           False               0.0 -0.000190           -0.0
81659  2026-03-04 10:47:00   5322.57  5323.07  5319.53  ...           False               0.0 -0.000190           -0.0
...                    ...       ...      ...      ...  ...             ...               ...       ...            ...
102064 2026-04-24 18:25:00   5025.42  5029.96  5022.91  ...            True               0.0  0.000802            0.0
102065 2026-04-24 18:26:00   5029.45  5030.46  5028.95  ...            True               1.0  0.000000            0.0
102066 2026-04-24 18:27:00   5029.96  5031.47  5029.45  ...            True               0.0  0.000099            0.0
102067 2026-04-24 18:28:00   5029.96  5031.47  5029.96  ...            True               0.0  0.000099            0.0
102068 2026-04-24 18:29:00   5030.96  5033.99  5028.45  ...            True               0.0  0.000402            0.0

[20414 rows x 21 columns]",-0.010708150954133801,0.02836838432368732,2.6489431845041467,1.6343245479166768e-08
